Phylum,Class,Order,Family,Genus
,UBA9160,Natranaerobiales,Peribacteraceae,JABIDZ01
,UBA796,SKNC01,CAIRYL01,0-14-0-20-30-16
,,DTU022,UBA4473,JAADDC01
,,PWVN01,UBA12470,EX4484-2
,,Dethiobacterales,UBA12473,WALD01
,,DTU030,2-02-FULL-48-14,Altiarchaeum
,,DUMP01,UM-FILTER-53-11,GCA-2688775
,,Thermincolales,JACRIC01,JACPDF01
,,Desulfotomaculales,UBA1369,JACPJP01
,,Ammonifexales,UBA12463,JACPBV01
,,Carboxydothermales,PNNO01,JAFCFN01
,,Desulfitobacteriales,LOWO2-01-FULL-3,SURF-65
,,Heliobacteriales,GCA-2718715,DSQK01
,,DRI-13,GWF2-33-10,JACQIC01
,,Peptococcales,RBG-16-42-10,JACRKG01
,,Dehalobacteriales,X112,WJKI01
,,UBA7702,UBA6164,UBA10200
,,UBA4068,UBA2023,JACQSP01
,,TC1,JACMRA01,JABHXF01
,,Ch66,Kazan-3B-28,JACRKF01
,,Syntrophomonadales,UBA10110,JACRPI01
,,DULZ01,CPR2,UBA153
,,PH28-bin88,UBA1875,UBA525
,,DTU086,UBA4664,SKIA01
,,JADQBR01,QS-5-54-17,SKGA01
,,Desulfitibacterales,UBA7683,WJKR01
,,Moorellales,AMD01,PWWA01
,,Thermacetogeniales,CAIJKY01,21-14-0-10-32-9
,,Acidaminococcales,Nanoperiomorbaceae,SKIS01
,,JAGOZY01,UBA5946,SM23-78
,,Veillonellales,Saccharimonadaceae,JAFGBP01
,,Propionisporales,UBA1020,GCA-2686295
,,DSM-1736,UBA1547,UBA9642
,,RGIG982,UBA10027,GW2011-AR15
,,Selenomonadales,Nanosynbacteraceae,JABMQF01
,,Anaeromusales,Nanosyncoccaceae,JACQX01
,,UMGS1260,Nanogingivalaceae,JABJCP01
,,CTSoil-072,CAIOMD01,JACPCA01
,,Sporomusales,SZUA-47,WJJV01
,,Sporomusales_A,2-12-FULL-41-12,UBA10107
,,UBA1444,SLHW01,UBA10216
,,Symbiobacteriales,AWTP1-31,UBA492
,,UBA3575,JACDFO01,CG1-02-33-12
,,Sulfobacillales,UBA4665,JACOZP01
,,SLMV01,UBA10212,1-14-0-10-32-24
,,RBS10-35,BJGX01,PCYB01
,,Thermaerobacterales,CAILAD01,JACRPH01
,,D8A-2,UBA10190,JABJOX01
,,UBA8153,CAIZMI01,GCA-2688265
,,JABLXB01,UBA920,UBA583
,,UBA995,O2-02-FULL-48-8,GW2011-AR17
,,UBA9673,2-01-FULL-46-14,JAGVZZ01
,,Dormibacterales,2-01-FULL-50-11,BS150m-G60
,,CF-121,JABMPQ01,UBA9640
,,UBA8260,JAHIRA01,JABIKK01
,,P2-11E,UBA10009,JACOVP01
,,QHBO01,UBA1558,JACPCE01
,,Limnocylindrales,2-01-FULL-52-15,PNOQ01
,,DTKN01,GWA2-36-10,JABJPM01
,,Chloroflexales,S139-126,JAGVZF01
,,54-19,GWA2-43-13,JACQNJ01
,,Thermobaculales,UBA9629,JAGVZJ01
,,Thermomicrobiales,UBA2169,JAGVZC01
,,UBA6077,S139-112,ARS1403
,,FW602-bin22,GWA2-42-15,JACPIN01
,,JACPQK01,UBA2196,GW2011-AR1
,,SZUA-161,CAIXNZ01,JWKY01
,,E44-bin15,UBA11705,CABMGN01
,,Dehalococcoidales,JABHMO01,ARS1301
,,RBG-13-53-26,UBA12465,JAHKAF01
,,GIF9,UBA12075,JAFCEV01
,,JACPPY01,VMTK01,NP1466
,,JACVQG01,GWC2-42-12,ASMP01
,,SHYM01,GWE2-39-37,JACQLK01
,,SHYB01,UBA917,JAGVWT01
,,SAR202,XYC2-FULL-47-12,RBG-13-33-26
,,UBA1151,XYB2-FULL-38-15,UBA73
,,UBA2963,GCA-002772895,SICV01
,,UBA3495,2-01-FULL-39-33,SICU01
,,UBA6952,UBA6539,MNVX01
,,UBA1127,GWA2-38-13,JACPLR01
,,GCA-2717565,SURF-54,ARS1285
,,UBA2985,PGYQ01,JAGVXM01
,,UBA6926,UBA6264,JABIDS01
,,DSTF01,JABMQE01,JAFCDM01
,,Tepidiformales,JAACEG01,CABMGE01
,,Bin125,JACQRZ01,CAIPOI01
,,UBA2979,UBA10138,JAGVXH01
,,SM23-28-2,GWA2-46-9,UBA284
,,SHYD01,GWA2-47-26,ARS21
,,DTOL01,SG8-24,JAAZWY01
,,UBA1429,2-12-FULL-57-11,JABICX01
,,UBA2200,2-12-FULL-60-25,JACOYC01
,,SpSt-313,UBA10169,JAGVWH01
,,DTPP01,GWF2-40-263,CG07-land
,,DTLA01,UBA9934,JAFCGN01
,,SpSt-600,UBA11717,Parvarchaeum
,,UBA7937,GWA2-37-8,CSSed11-243R1
,,JAAYZQ01,UBA922,Nanopusillus
,,DSLN01,UBA10146,JACOWB01
,,Aggregatilineales,UBA10003,JACPAE01
,,Anaerolineales,2-02-FULL-50-9b,JABABT01
,,Promineofilales,JAHIVO01,CG10238-14
,,Thermoflexales,UM-FILTER-42-10,JAHLMN01
,,B4-G1,PEXW01,JACPZZ01
,,JAFGEY01,SBBC01,JACQOD01
,,4572-78,CAIJZX01,JACQIG01
,,DRVO01,XYC2-FULL-38-9,JAADIF01
,,UBA3071,UBA9570,CS1-C013
,,DUEN01,HO2-48-17,SZUA-1535
,,SSC4,JABAAK01,PWEA01
,,JAAEKA01,JACRKE01,JACQIF01
,,CG2-30-64-16,UBA12445,GW2011-AR5
,,Caldilineales,XYD1-FULL-46-19,JACPAH01
,,J102,UBA6899,JACPDL01
,,JAADDB01,JACNGX01,JACPJW01
,,Ardenticatenales,21-14-all-47-15,JACQID01
,,UCB3,UBA1539_B,JACRAC01
,,JACRMK01,UBA1539_A,WALA01
,,UBA4142,UBA1539,QMZS01
,,VXOZ01,UBA2135,B1-Br10-U2g21
,,UBA11872,GCA-2747955,Nanohalobium
,,UBA12225,CAIZLB01,PL-Br10-U2g16
,,Ktedonobacterales,CAJBRS01,SW-4-43-9
,,UBA5177,CAIJKW01,B1-Br10-U2g19
,,JAAZEB01,VEQN01,B79-G9
,,SYMT01,UBA11359,LFW-46
,,DTGP01,UBA6065,EX4484-52
,,HRBIN16,UBA10002,GLR71
,,Fimbriimonadales,SIBU01,JAADEF01
,,Armatimonadales,DSPV01,JAAOXX01
,,Chthonomonadales,UBA11359_C,Undinarchaeum
,,DSUL01,PALSA-1337,Exilispira
,,UBA5829,GWA1-40-21,MWDO01
,,DTJY01,Zambryskibacteraceae_A,Entomospira
,,WVXJ01,Zambryskibacteraceae,Spirochaeta_F
,,UBA1398,CSBR16-193,Oceanispirochaeta
,,UBA5377,CAJQIN01,SZUA-368
,,UBA10988,JAACPR01,UBA2779
,,HRBIN17,UBA12079,Thiospirochaeta
,,Abditibacteriales,GCA-002724975,JABEVK01
,,CG2-30-59-28,21-14-all-36-13,Termitinema
,,CSP1-3,UBA2163,WRIV01
,,Eremiobacterales,JABMNX01,WQXQ01
,,Baltobacterales,J119,Treponema_H
,,CADAWZ01,UBA2103,Treponema_G
,,RGZZ01,UBA918,GCA-2749205
,,Xenobiales,SBAW01,Treponema_B
,,Deinococcales,UBA2100,Treponema
,,Actinomarinales,UBA5272,DUOS01
,,UBA5794,UBA1006,Spiro-10
,,Acidimicrobiales,UBA9973,Treponema_D
,,IMCC26256,UBA6257,Treponema_F
,,Nitriliruptorales,HR35,Treponema_C
,,Euzebyales,JACRHW01,UBA1240
,,Nanopelagicales,Colwellbacteraceae,RGIG1711
,,Acidothermales,WO2-44-18,UBA12059
,,Streptosporangiales,02-FULL-45-10c,SZUA-370
,,Mycobacteriales,1-14-0-10-44-23,UBA5200
,,Sporichthyales,1-14-0-10-40-38,JAFGNN01
,,Motilibacterales,UBA11618,Rectinema
,,Streptomycetales,MFKM01,UBA2256
,,Jiangellales,GWB1-50-10,SKVS01
,,Propionibacteriales,2-01-FULL-56-20,Alkalispirochaeta
,,Actinomycetales,XYB1-36-10,SLAN01
,,CADDZG01,UBA9933,SKKC01
,,UBA4738,Brennerbacteraceae,JAAAOH01
,,AC-67,JACQLN01,PWMO01
,,Rubrobacterales,2-02-FULL-40-12,SLST01
,,BMS3ABIN01,GWA2-44-9,PXBQ01
,,RBG-16-64-13,IGHO2-01-FULL-4-A,SLAA01
,,UBA2241,IGHO2-12-FULL-4,B1Sed10-166
,,Miltoncostaeales,UBA10092,DTKZ01
,,Solirubrobacterales,JACQCQ01,Spirochaeta_A
,,Gaiellales,GWA2-42-14,SZUA-6
,,Coriobacteriales,SURF-37,Fen-1364
,,WRKU01,HO2-52-23,RPPD01
,,OPB41,2-02-FULL-48-12,JAFGRV01
,,Fen-727,GWA2-47-10b,CADAEX01
,,Geothermincolales,UBA11713,WQTU01
,,Humimicrobiales,2-01-FULL-45-33,UBA9216
,,Aquicultorales,H02-45-28,Marispirochaeta
,,UBA3085,1-14-0-10-42-19,JABMQR01
,,Subteraquimicrobiales,JACROR01,SABI01
,,Atribacterales,Tagabacteraceae,UBA8525
,,SB-45,UBA9983,JAAYDK01
,,Aerophobales,M10-OD1-4,Sphaerochaeta
,,SLGR01,WO2-46-25,RUG023
,,CG03,H02-43-30,RZYO01
,,UBA8919,2-12-FULL-38-22,Bullifex
,,JACQPE01,GWB1-40-14,Ornithospirochaeta
,,Elusimicrobiales,2-01-FULL-58-14,JAAYFO01
,,JACQJN01,PWMZ01,UBA9732
,,UBA1565,PWPS01,UBA1265
,,02-12-FULL-59-9,CSSED10-335,UBA9848
,,2-02-FULL-39-32,PEYH01,PWKH01
,,2-01-FULL-59-12,GBS-2,Sediminispirochaeta
,,F11,UBA10102,Borreliella
,,DTEH01,GWA2-46-15,Borrelia
,,CG1-02-37-114,UBA5633,GWF1-51-8
,,Endomicrobiales,UBA5738,Brachyspira
,,PHAN01,GWA2-38-27,UBA4802
,,WVXT01,CG1-02-41-26,WRGT01
,,UBA6262,Staskawiczbacteraceae,UBA5550
,,Palsa-1180,2-12-FULL-40-12,RBG-16-49-21
,,JAAXVQ01,DG-74-3,MVZN01
,,D2-FULL-39-29,UBA6532,Turneriella
,,PGYV01,MHMH01,UBA2033
,,CG2-30-40-21,RBG-13-36-15,Leptospira
,,UBA7526,Paceibacteraceae,Leptospira_B
,,UBA1551,RBG-13-42-11,GCA-2786225
,,JACRDZ01,RBG-13-40-8-A,Leptospira_A
,,PUNC01,JAHIHE01,UBA3465
,,UBA6266,UBA2143,UBA9980
,,JABMQX01,GWB1-42-6,MWAR01
,,SURF-26,SW-4-49-11,Ozemobacter
,,JACPWU01,DSTG01,JADFXM01
,,Opitutales,UBA2193,RUG334
,,JABWAM01,DUUL01,Rifleibacterium
,,Pedosphaerales,UBA1568,JACPRK01
,,Palsa-1439,GCA-2747515,DSCS01
,,Methylacidiphilales,UBA2206,Sebaldella
,,Chthoniobacterales,UBA9337,Leptotrichia
,,Verrucomicrobiales,2-12-FULL-40-10,Leptotrichia_A
,,RFP12,GWC2-37-73,Pseudoleptotrichia
,,UBA8416,UBA11712,Streptobacillus
,,JAAZAB01,CAIUEV01,Oceanivirga
,,PXCX01,JAHKAQ01,Sneathia
,,CAIKKV01,UBA1384,JAFGUR01
,,SLAD01,DTJR01,Psychrilyobacter
,,PWTM01,CG2-30-39-44,Fusobacterium_A
,,LD1-PB3,GWA2-35-9,Fusobacterium_C
,,B70-G9,2-12-FULL-50-11,Fusobacterium
,,Kiritimatiellales,UBA12157,Cetobacterium_A
,,RZYC01,XYA2-FULL-43-10,Cetobacterium
,,SS1-B-03-39,CAILIB01,Fusobacterium_B
,,Victivallales,JACPKC01,Calescibacterium
,,UBA1407,J137,UBA6624
,,UBA3054,JAHIVN01,GCA-2401785
,,2-12-FULL-49-11,OLB20,CAIKAH01
,,Chlamydiales,JAFGCJ01,UASB340
,,B48-G9,T1SED10-24,Chromulinavorax
,,MWAK01,SC72,JACPFN01
,,NPL-UPA2,GCA-002793355,2-12-FULL-36-22
,,CAIJMQ01,4484-211,AWTP1-30
,,4484-213,GCA-002791395,PRDV01
,,JAHJGZ01,9FT-COMBO-53-11,UBA12474
,,JACROU01,UBA10185,UBA12395
,,Omnitrophales,2-01-FULL-39-13,GWE2-41-16
,,SKK-01,CG2-30-40-12,Lebetimonas
,,4484-171,0-14-0-20-40-13,Nautilia
,,S143-82,RBG-16-39-9b,YY08-10
,,UBA10015,GWA2-41-24,Nitratiruptor
,,GIF10,UBA10151,PUXW01
,,1-14-0-20-42-13,2-02-FULL-39-11,Hydrogenimonas
,,UBA1572,UBA10105,Nitratifractor
,,B26-G9,UBA927,JAADEQ01
,,UBA6215,JACPZF01,Sulfurovum
,,JABMRG01,GWA1-39-11,SZUA-451
,,2-01-FULL-45-10,UBA12049,BN30871
,,JABMRN01,2-01-FULL-40-14,UBA1140
,,JABMRJ01,JAADGY01,S017-3
,,JAHIPI01,UBA1406,Sulfuricurvum
,,JAFGHF01,HO2-37-13b,Sulfurimonas
,,UBA10183,GWC2-37-13,CAITKP01
,,2-02-FULL-51-18,JACPES01,GCA-2733885
,,1-14-0-20-64-10,UBA12028,NHYM01
,,UBA9649,PJMF01,Helicobacter_H
,,DTPJ01,RBG-16-45-19,Helicobacter_J
,,GCA-2687025,Chisholmbacteraceae,Helicobacter
,,WGA-4E,MFAQ01,Helicobacter_E
,,SURF-5,UBA12108,Helicobacter_B
,,Hydrogenedentiales,CG1-02-47-37,Helicobacter_G
,,SURF-12,UBA1400,Helicobacter_C
,,OLB16,UBA1449,Helicobacter_F
,,Sumerlaeales,0-14-0-10-38-17,Helicobacter_I
,,SLMS01,UBA12405,Helicobacter_A
,,JABWBI01,UBA6130,Helicobacter_D
,,MWCT01,UM-FILTER-40-11,NHYN01
,,UBA8349,UBA8517,Malaciobacter
,,JADFCW01,UBA10165,Aliarcobacter
,,RBG-13-66-14,Amesbacteraceae,Poseidonibacter
,,SBBH01,UBA6099,Halarcobacter
,,UBA1146,VGJW01,Arcobacter
,,UBA8890,UBA4093,NORP36
,,UBA8108,UBA7694,UBA4036
,,J058,LV9,JADHTT01
,,PLA2,Gloeobacteraceae,CAIJNA01
,,GCA-002687715,JA-3-3Ab,UBA6211
,,B15-G4,Thermosynechococcaceae,Sulfurospirillum_A
,,UBA2386,CACIAM-69d,Sulfurospirillum
,,UBA1135,Synechococcaceae,Campylobacter_D
,,UBA2392,Prochlorotrichaceae,Campylobacter_E
,,Gemmatales,Elainellaceae,Campylobacter_A
,,Planctomycetales,Phormidesmiaceae,Campylobacter
,,Pirellulales,Leptolyngbyaceae,Campylobacter_B
,,Isosphaerales,Xenococcaceae,Kmv14
,,FEN-1346,Prochloraceae,JAADDL01
,,Phycisphaerales,Cyanobacteriaceae,QNZT01
,,WQYP01,Gloeocapsaceae,SZUA-1433
,,Tepidisphaerales,Microcystaceae_A,Desulfurella
,,Sedimentisphaerales,CAISPN01,Hippea
,,SM23-33,Microcystaceae,Thermosynergistes
,,JAAYCJ01,Spirulinaceae,58-81
,,UBA1845,Rubidibacteraceae,UBA1876
,,Brocadiales,Coleofasciculaceae,Thermovirga
,,SM23-32,Nostocaceae,Aminobacterium
,,JACQXL01,Chroococcidiopsidaceae,JAAYLU01
,,WSZJ01,Phormidiaceae_A,Aminivibrio
,,MHYJ01,Chamaesiphonaceae,WRNQ01
,,DSUN01,FACHB-T130,CAJPSE01
,,PUPC01,Desertifilaceae,Fretibacterium
,,SRT547,Oscillatoriaceae_A,Dethiosulfovibrio
,,SZUA-567,Oscillatoriaceae,Pyramidobacter
,,H5-PLA8,Geitlerinemaceae,79-D21
,,UBA11346,Microcoleaceae,Thermanaerovibrio
,,Chitinivibrionales,Pseudanabaenaceae,Caccocola
,,OXYB2-FULL-49-7,Gloeomargaritaceae,Synergistes
,,UBA5070,Cyanobiaceae,Cloacibacillus
,,Fibrobacterales,Vampirovibrionaceae,Syner-03
,,UBA11236,UBA9579,JAAYFL01
,,Cloacimonadales,RUG14156,Aminiphilus
,,JGIOTU-2,Gastranaerophilaceae,SV1-B22
,,BMS3BBIN04,Obscuribacteraceae,Acetomicrobium
,,RPQS01,2-02-FULL-35-15,M55B111
,,AABM5-125-24,Caenarcanaceae,JAGXLP01
,,B3-LCP,LMEP-6097,UBA3571
,,JABMRZ01,XYB2-FULL-48-7,B1SED10-245
,,CAIWAD01,O2-12-FULL-45-9,T3SED10-47
,,UBA4055,XYC2-FULL-37-10,UBA3574
,,RBG-13-44-9,WPAF01,DTER01
,,Calditrichales,XYC2-FULL-46-14,Bipolaricaulis
,,CR04bin15,Termititenacaceae,SPBW01
,,DRLW01,SXXA01,CAIOGO01
,,UBA2214,JABIPA01,B3-G13
,,JACIZP01,UBA817,Athalassotoga
,,AABM5-25-91,GCA-002719695,Mesoaciditoga
,,JdFR-76,GWF2-35-9,UBA12178
,,QNDG01,DTU010,Thermotoga
,,SORT01,DTU012,Pseudothermotoga_A
,,Marinisomatales,B1SED10-159,Pseudothermotoga_B
,,SCGC-AAA003-L08,DTU087,Fervidobacterium_A
,,AB16,JAAZLZ01,Fervidobacterium
,,UBA8477,DTU080,Thermosipho_A
,,UBA2242,RSA5,Thermosipho
,,SB21,Limnochordaceae,Kosmotoga_B
,,JABWAT01,DUMU01,Mesotoga
,,Chlorobiales,ZCTH02-B6,UBA9910
,,Balneolales,DTU084,Marinitoga
,,Rhodothermales,DTU065,Petrotoga
,,J057,UBA5301,MWEM01
,,Cytophagales,UBA4971,DUMJ01
,,CAILMK01,JABLXJ01,OB1-4
,,Chitinophagales,Ch115,Dictyoglomus
,,NS11-12g,DTU014,JACIXR01
,,UBA7662,MWDF01,JAAYUI01
,,NORP286,DTU025,Cryosericum
,,Sphingobacteriales,UBA8346,UBA646
,,AKYH767-A,UBA10575,Caldisericum
,,AKYH767,WRDA01,Thermodesulfobium
,,Bacteroidales,PWPR01,HKB111
,,Flavobacteriales,UBA5500,Coprothermobacter
,,SpSt-205,UBA994,JAFGTE01
,,0-14-0-80-59-12,Acidibacillaceae,JAFGCR01
,,UBA10030,Alicyclobacillaceae,FEN-1329
,,T3Sed10-11,Effusibacillaceae,GWB1-54-5
,,Kryptoniales,Tumebacillaceae,UBA2170
,,Ch128b,Kyrpidiaceae,UBA2144
,,Ignavibacteriales,Desulfuribacillaceae,Peribacter
,,SJA-28,Bacillaceae_M,2-12-FULL-55-11
,,SZUA-365,Calditerricolaceae,2-02-FULL-49-16
,,Palsa-1295,DSM-22653,JABFSS01
,,Kapabacteriales,Novibacillaceae,CAIKAD01
,,OLB7,DSM-45169,JACOTD01
,,JAFGQG01,DSM-44946,JAACPJ01
,,UBA6098,Thermoactinomycetaceae,UBA12463
,,UBA3073,JCM-10596,PNNO01
,,SDB-A,Planococcaceae,SLNK01
,,QNBC01,JC228,GCA-2718715
,,32-111,Amphibacillaceae,HOT-345
,,E44-bin80,Alkalibacillaceae,UBA3291
,,UBA3072,Halobacillaceae,UBA6263
,,LBFQ01,DSM-28697,CAJBLF01
,,WGAB01,Bacillaceae_O,UBA5124
,,UBA1063,Bacillaceae_D,GN02-872
,,SM23-42,Bacillaceae_F,UBA5194
,,B3-TA06,Anaerobacillaceae,GN02-873
,,UBA2258,Salisediminibacteriaceae,JABFSX01
,,Latescibacterales,Marinococcaceae,UBA1545
,,MVCY01,Fictibacillaceae,Kazan-3B-28
,,B68-G9,Sporolactobacillaceae,2-01-FULL-49-10
,,UBA8231,HB172195,GWC2-39-10
,,UBA2968,UBA6769,CAIJKY01
,,JAAXHH01,Bacillaceae_J,Nanoperiomorbus
,,AC1,SA4,WQXA01
,,UBA10806,Bacillaceae_G,Saccharimonas
,,UM-FILTER-46-8,Bacillaceae_L,UBA1020
,,MSB-5A5,Anoxybacillaceae,2011-GWC2-44-17
,,GN15,Bacillaceae,UBA6022
,,CAIYYT01,Bacillaceae_H,UBA1547
,,JAABVY01,Bacillaceae_I,UBA6175
,,DSPP01,DSM-18226,UBA10027
,,GWA2-58-10,DSM-1321,SDRW01
,,Gemmatimonadales,DSM-25281,Nanosynbacter
,,Longimicrobiales,Bacillaceae_B,VGLK01
,,KS3-K002,Jeotgalibacillaceae,UBA2834
,,Fermentibacterales,Domibacillaceae,Nanosyncoccus
,,WVZY01,Bacillaceae_C,WQUV01
,,Krumholzibacteriales,Caldibacillaceae,Nanogingivalis
,,JACNKJ01,Carnobacteriaceae,CAIOMD01
,,LZORAL124-64-63,Aerococcaceae,SLHW01
,,CAIMUX01,Lactobacillaceae,AWTP1-31
,,SZUA-252,Vagococcaceae,CAIYEO01
,,RBG-16-71-46,Enterococcaceae,UBA4665
,,VGIX01,Streptococcaceae,JACMPA01
,,JABDJQ01,Listeriaceae,UBA5150
,,Thermotomaculales,Gemellaceae,UBA4729
,,Holophagales,Staphylococcaceae,GCA-2746885
,,Acanthopleuribacterales,Salinicoccaceae,UBA10212
,,UBA4820,Anaeroplasmataceae,UBA6824
,,Thermoanaerobaculales,Acholeplasmataceae,21-14-0-10-47-8-A
,,Gp7-AA8,UBA5453,SICB01
,,UBA5066,UBA5603,CAILAD01
,,UBA5704,UBA1188,HO2-45-11b
,,J045,Izemoplasmataceae,AMAZON01
,,Mor1,MAG-NZ,PALSA-1336
,,Gp22-AA2,CAG-313,UBA920
,,CAIWXX01,CAG-698,JACQPC01
,,HR10,DUOF01,JACQJI01
,,UBA7656,CAG-449,2-01-FULL-46-14
,,Chloracidobacteriales,CAG-288,JABMPQ01
,,RBC074,CAG-826,GWA2-36-10
,,Pyrinomonadales,UBA1709,CAIRBL01
,,20CM-2-55-15,CAG-631,BM519
,,VXMN01,Coprobacillaceae,XYD1-37-29
,,2-12-FULL-54-10,Erysipelotrichaceae,CG1-02-41-12
,,Acidobacteriales,UBA660,CG10-46-32
,,Bryobacterales,UBA3375,2-02-FULL-39-13
,,Acidoferrales,GCF-1484045,JAAZMX01
,,UBA7540,Hepatoplasmataceae,CAIXNZ01
,,UBA6911,Metamycoplasmataceae,UBA11705
,,RPQK01,Mycoplasmoidaceae,JABMRF01
,,JAAYUB01,Mycoplasmataceae,CG1-02-41-21
,,Bin61,VBWQ01,CAJAVM01
,,Vicinamibacterales,Haloplasmataceae,UBA12465
,,Fen-336,Turicibacteraceae,JAACPL01
,,UBA890,Exiguobacteraceae,GCA-002841655
,,B3-B38,Brevibacillaceae,CAINDR01
,,Aminicenantales,Aneurinibacillaceae,JACPHD01
,,UBA2199,RAOX-1,GWC2-42-12
,,Chrysiogenales,Tepidibacillaceae,JAAXUA01
,,Deferribacterales,Reconcilibacillaceae,UBA919
,,Thermosulfidibacterales,SCSIO-06110,2-12-FULL-45-10
,,Desulfurobacteriales,UBA4045,JAHIRI01
,,Hydrogenothermales,NBRC-103111,GCA-002772895
,,Aquificales,YIM-B00363,2-01-FULL-39-33
,,Rokubacteriales,Paenibacillaceae,CAISTG01
,,Methylomirabilales,DTU029,PGYQ01
,,Moduliflexales,Halanaerobiaceae,JACQSB01
,,DTGQ01,Halarsenatibacteraceae,GWA2-46-9
,,SZUA-182,CSSED10-376,UBA1561
,,GWA2-38-11,M55B127,CAIXDN01
,,2-12-FULL-45-22,Acetohalobiaceae,VGLT01
,,Entotheonellales,Halobacteroidaceae,JAGOUA01
,,UBA8248,DY22613,CAIKOH01
,,Nitrospinales,B1SED10-174,2-12-FULL-60-25
,,UBA9942,Ch29,MWCR01
,,SZUA-224,Thermoanaerobacteraceae,JAGOQX01
,,JACRGQ01,Caldanaerobiaceae,CAIKNB01
,,UBA7883,UBA4877,JAHJFW01
,,RBG-16-64-22,Caldicellulosiruptoraceae,XYB2-FULL-45-11
,,UBA9217,Lutisporaceae,JACQXU01
,,SZUA-242,Oxobacteraceae,VGKU01
,,UBA6902,Clostridiaceae,UM-FILTER-50-9
,,Thermodesulfovibrionales,Caloramatoraceae,JABMNZ01
,,Nitrospirales,Garciellaceae,JACRJW01
,,JACQBZ01,Eubacteriaceae,UBA12478
,,2-01-FULL-66-17,Alkalibacteraceae,2-01-FULL-63-20
,,JACQBW01,UBA1433,YC12-FULL-57-11
,,SBBL01,Anaerofustaceae,UBA10014
,,HDB-SIOI813,Tepidimicrobiaceae,UBA11707
,,9FT-COMBO-42-15,Tissierellaceae,UBA9934
,,CG2-30-53-67,Sporanaerobacteraceae,UM-FILTER-41-21
,,B130-G9,Peptoniphilaceae,UBA11717
,,CSSED10-310,Sedimentibacteraceae,JABMPK01
,,JADFVX01,Dethiosulfatibacteraceae,XYD2-FULL-41-14
,,Geobacterales,Proteiniboraceae,CAIOJG01
,,Desulfuromonadales,Gottschalkiaceae,XYD2-FULL-39-9
,,JAENJC01,Thermohalobacteraceae,2-02-FULL-45-10
,,GWC2-55-46,SIT17,2-12-FULL-43-12
,,UBA9637,MES13,UBA1557
,,DSWW01,Natronincolaceae,BM521
,,Zymogeniales,Tindalliaceae,UBA12086
,,Desulfomonilales,T1SED10-28,GCA-2716765
,,UBA1062,Peptostreptococcaceae,JAHJIX01
,,Adiutricales,Filifactoraceae,XYB1-40-15
,,Desulfarculales,Anaerovoracaceae,UBA10146
,,Desulfobaccales,JAAYPU01,UBA10003
,,Desulfofervidales,Thermotaleaceae,2-02-FULL-50-9b
,,Desulfobulbales,Acidaminobacteraceae,UM-FILTER-42-10
,,Dissulfuribacterales,Caminicellaceae,PEXW01
,,Thermodesulfobacteriales,BM714,JACQPY01
,,QYQD01,DTU083,CAIJZX01
,,BM002,UBA3941,UBA9570
,,Syntrophobacterales,Caldicoprobacteraceae,JABAAK01
,,Desulfatiglandales,Xylanivirgaceae,JACQCV01
,,RBG-13-43-22,HGM11327,CAIPHT01
,,JADFXK01,MARSEILLE-P3954,MHLP01
,,C00003060,CAG-74,JACNGX01
,,Desulfobacterales,UBA1750,JACROH01
,,Syntrophales,UMGS416,2-01-FULL-51-10
,,JAGOGO01,SZUA-584,UBA1550
,,CAIYCZ01,Christensenellaceae,JACQLQ01
,,SM23-61,CAG-138,CAIZLB01
,,UBA8473,QAND01,CAIJKW01
,,BSN033,QALW01,VEQN01
,,B13-G15,UBA1242,UBA11359
,,JdFR-97,DUVY01,UBA6065
,,GCA-002796325,CAG-552,2-02-FULL-48-16
,,SPLOWO2-01-44-7,CAG-314,UBA10002
,,2-02-FULL-44-16,Borkfalkiaceae,SIBU01
,,2-02-FULL-50-16,HGM11417,2-02-FULL-44-35
,,UBA10199,UBA3700,2-02-FULL-46-13
,,DSSB01,CAG-917,C7867-002
,,JACOXK01,CAG-1252,CAIOGI01
,,2-02-FULL-40-11,DTU072,PALSA-1337
,,Syntrophorhabdales,RUG350,GWA1-40-21
,,Acidulodesulfobacterales,SK-Y3,CAIJXO01
,,UBA1144,JAAYXM01,Bog-1340
,,UBA2774,Oscillospiraceae,WO2-35-19
,,RKRQ01,JAAYOS01,UBA5004
,,Deferrisomatales,UBA929,C7867-006
,,Anaeroferrophillales,Butyricicoccaceae,UBA910
,,MBNT15,QAMX01,SKVL01
,,J040,RGIG8002,UBA12079
,,BMS3Abin14,Acutalibacteraceae,JAHITU01
,,FEN-1099,Ruminococcaceae,GCA-002724975
,,UBA1149,Ethanoligenenaceae,VMGX01
,,Binatales,RGIG577,UBA2163
,,UBA12015,BX7,JABMNX01
,,UTPRO1,WRJC01,UBA6534
,,HRBIN30,CAG-382,J119
,,Bin18,CAG-272,UBA12088
,,UBA9968,QAKW01,1-14-0-10-45-20
,,JACPQY01,UBA644,UBA2103
,,UBA6777,UMGS1783,C7867-001
,,SLRQ01,RGIG5299,UBA918
,,Myxococcales,UMGS1840,HO2-49-34
,,UBA4151,HGM11507,OLB19
,,UBA727,Monoglobaceae,GWA1-54-10
,,WYAZ01,Firm-18,UBA10103
,,XYA12-FULL-58-9,HGM11514,UBA2100
,,B64-G9,RGIG6154,S143-145
,,SpSt-1050,UBA9506,S139-169
,,Nannocystales,UMGS1253,UBA5272
